Namespace(adv_steps=5, attSize=85, batch_size=1024, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, ndh=4096, nepoch=200, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=40, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=2000, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  7128
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2133, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=40)
  (relu): ReLU(inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[163 /200 ]    |  0.9489  |  0.5622  |  0.9724  |    0.5371    |   0.6480   | 0.5873  |
[164 /200 ]    |  0.9492  |  0.5569  |  0.9714  |    0.5155    |   0.6563   | 0.5775  |
[165 /200 ]    |  0.9435  |  0.5538  |  0.9722  |    0.5348    |   0.6486   | 0.5862  |
[166 /200 ]    |  0.9464  |  0.5546  |  0.9723  |    0.5132    |   0.6512   | 0.5740  |
[167 /200 ]    |  0.9462  |  0.5618  |  0.9723  |    0.5300    |   0.6410   | 0.5802  |
[168 /200 ]    |  0.9456  |  0.5557  |  0.9730  |    0.5406    |   0.6442   | 0.5878  |
[169 /200 ]    |  0.9418  |  0.5615  |  0.9721  |    0.5039    |   0.6506   | 0.5679  |
[170 /200 ]    |  0.9517  |  0.5647  |  0.9730  |    0.5345    |   0.6499   | 0.5866  |
[171 /200 ]    |  0.9466  |  0.5583  |  0.9734  |    0.4916    |   0.6996   | 0.5774  |
[172 /200 ]    |  0.9470  |  0.5542  |  0.9732  |    0.5267    |   0.6480   | 0.5811  |
[173 /200 ]    |  0.9444  |  0.5575  |  0.9739  |    0.5307    |   0.6371   | 0.5791  |
[174 /200 ]    |  0.9458  |  0.5631  |  0.9744  |    0.5304    |   0.6506   | 0.5844  |
[175 /200 ]    |  0.9483  |  0.5553  |  0.9734  |    0.5417    |   0.6533   | 0.5923  |
[176 /200 ]    |  0.9523  |  0.5591  |  0.9740  |    0.5427    |   0.6375   | 0.5863  |
[177 /200 ]    |  0.9445  |  0.5551  |  0.9742  |    0.5113    |   0.7040   | 0.5923  |
[178 /200 ]    |  0.9487  |  0.5541  |  0.9748  |    0.4990    |   0.6976   | 0.5818  |
[179 /200 ]    |  0.9433  |  0.5575  |  0.9752  |    0.5281    |   0.6493   | 0.5825  |
[180 /200 ]    |  0.9464  |  0.5512  |  0.9740  |    0.5363    |   0.6492   | 0.5874  |
[181 /200 ]    |  0.9490  |  0.5517  |  0.9747  |    0.5194    |   0.6484   | 0.5768  |
[182 /200 ]    |  0.9511  |  0.5538  |  0.9748  |    0.5386    |   0.6453   | 0.5872  |
[183 /200 ]    |  0.9484  |  0.5592  |  0.9762  |    0.5439    |   0.6524   | 0.5932  |
[184 /200 ]    |  0.9473  |  0.5559  |  0.9756  |    0.4800    |   0.7004   | 0.5696  |
[185 /200 ]    |  0.9468  |  0.5593  |  0.9750  |    0.4978    |   0.7011   | 0.5822  |
[186 /200 ]    |  0.9438  |  0.5563  |  0.9751  |    0.5032    |   0.7032   | 0.5866  |
[187 /200 ]    |  0.9414  |  0.5612  |  0.9756  |    0.4959    |   0.6992   | 0.5803  |
[188 /200 ]    |  0.9465  |  0.5595  |  0.9758  |    0.5046    |   0.7038   | 0.5877  |
[189 /200 ]    |  0.9463  |  0.5541  |  0.9760  |    0.5236    |   0.6540   | 0.5816  |
[190 /200 ]    |  0.9485  |  0.5593  |  0.9763  |    0.5018    |   0.7015   | 0.5851  |
[191 /200 ]    |  0.9511  |  0.5486  |  0.9768  |    0.5204    |   0.6501   | 0.5781  |
[192 /200 ]    |  0.9442  |  0.5546  |  0.9761  |    0.5445    |   0.6503   | 0.5927  |
[193 /200 ]    |  0.9463  |  0.5578  |  0.9767  |    0.4962    |   0.6975   | 0.5799  |
