Namespace(adv_steps=5, attSize=102, batch_size=2048, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='SUN', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0002, manualSeed=None, matdataset=True, nclass_all=717, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=645, nz=102, outf='./checkpoint/', outname='sun', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=600, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  3769
# of training samples:  10320
MLP_G(
  (fc1): Linear(in_features=204, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2150, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=645)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[147 /300 ]    |  0.9114  |  0.5964  |    0.3660    |   0.3880   | 0.3767  |
[148 /300 ]    |  0.9125  |  0.5729  |    0.4313    |   0.3360   | 0.3777  |
[149 /300 ]    |  0.9139  |  0.5560  |    0.3958    |   0.3527   | 0.3730  |
[150 /300 ]    |  0.9093  |  0.6272  |    0.3903    |   0.3597   | 0.3744  |
[151 /300 ]    |  0.9389  |  0.7760  |    0.3951    |   0.3473   | 0.3697  |
[152 /300 ]    |  0.9773  |  0.8268  |    0.4076    |   0.3438   | 0.3730  |
[153 /300 ]    |  0.8997  |  0.6264  |    0.4208    |   0.3395   | 0.3758  |
[154 /300 ]    |  0.8975  |  0.5971  |    0.3542    |   0.3837   | 0.3684  |
[155 /300 ]    |  0.9524  |  0.8175  |    0.3778    |   0.3585   | 0.3679  |
[156 /300 ]    |  0.8959  |  0.6847  |    0.3764    |   0.3616   | 0.3689  |
[157 /300 ]    |  0.8952  |  0.6454  |    0.3819    |   0.3713   | 0.3766  |
[158 /300 ]    |  0.9004  |  0.7074  |    0.3882    |   0.3574   | 0.3721  |
[159 /300 ]    |  0.8896  |  0.6201  |    0.4049    |   0.3488   | 0.3748  |
[160 /300 ]    |  0.8899  |  0.6295  |    0.4007    |   0.3500   | 0.3736  |
[161 /300 ]    |  0.9173  |  0.7577  |    0.3986    |   0.3570   | 0.3766  |
[162 /300 ]    |  0.8928  |  0.5858  |    0.3979    |   0.3574   | 0.3766  |
[163 /300 ]    |  0.9008  |  0.5676  |    0.4028    |   0.3612   | 0.3809  |
[164 /300 ]    |  0.8871  |  0.6878  |    0.3993    |   0.3593   | 0.3782  |
[165 /300 ]    |  0.8867  |  0.6411  |    0.3931    |   0.3539   | 0.3724  |
[166 /300 ]    |  0.8788  |  0.6206  |    0.4250    |   0.3411   | 0.3784  |
[167 /300 ]    |  0.8929  |  0.7177  |    0.4313    |   0.3314   | 0.3748  |
[168 /300 ]    |  0.8794  |  0.6413  |    0.4083    |   0.3442   | 0.3735  |
[169 /300 ]    |  0.8873  |  0.6481  |    0.3826    |   0.3574   | 0.3696  |
[170 /300 ]    |  0.8878  |  0.6167  |    0.3646    |   0.3636   | 0.3641  |
[171 /300 ]    |  0.9538  |  0.8783  |    0.4007    |   0.3469   | 0.3719  |
[172 /300 ]    |  0.8741  |  0.6434  |    0.3750    |   0.3787   | 0.3768  |
[173 /300 ]    |  0.8722  |  0.6907  |    0.4042    |   0.3519   | 0.3762  |
[174 /300 ]    |  0.7982  |  0.8154  |    0.3840    |   0.3581   | 0.3706  |
[175 /300 ]    |  0.8921  |  0.6031  |    0.4007    |   0.3442   | 0.3703  |
[176 /300 ]    |  0.8683  |  0.6231  |    0.4194    |   0.3434   | 0.3776  |
[177 /300 ]    |  0.9487  |  0.6013  |    0.3667    |   0.3895   | 0.3778  |
[178 /300 ]    |  0.5439  |  1.5231  |    0.3792    |   0.3267   | 0.3510  |
[179 /300 ]    |  1.0103  |  0.5951  |    0.3993    |   0.3403   | 0.3675  |
[180 /300 ]    |  0.9179  |  0.6221  |    0.3861    |   0.3403   | 0.3618  |
[181 /300 ]    |  0.8154  |  0.6842  |    0.3660    |   0.3539   | 0.3598  |
[182 /300 ]    |  0.8786  |  0.6868  |    0.4153    |   0.3283   | 0.3667  |
[183 /300 ]    |  0.7808  |  0.7148  |    0.3646    |   0.3671   | 0.3658  |
[184 /300 ]    |  0.7353  |  0.7235  |    0.3576    |   0.3558   | 0.3567  |
[185 /300 ]    |  0.7192  |  0.7636  |    0.4042    |   0.3225   | 0.3587  |
[186 /300 ]    |  0.6847  |  0.7443  |    0.3799    |   0.3426   | 0.3603  |
[187 /300 ]    |  0.9045  |  0.6491  |    0.3500    |   0.3841   | 0.3663  |
[188 /300 ]    |  0.7330  |  0.7805  |    0.3979    |   0.3504   | 0.3726  |
[189 /300 ]    |  0.8248  |  0.6649  |    0.4056    |   0.3527   | 0.3773  |
[190 /300 ]    |  0.8765  |  0.6487  |    0.3569    |   0.3891   | 0.3724  |
[191 /300 ]    |  1.2059  |  0.5639  |    0.3833    |   0.3682   | 0.3756  |
[192 /300 ]    |  0.8125  |  0.8095  |    0.3729    |   0.3705   | 0.3717  |
[193 /300 ]    |  0.8468  |  0.6611  |    0.3750    |   0.3779   | 0.3764  |
[194 /300 ]    |  0.8778  |  0.6264  |    0.4187    |   0.3419   | 0.3764  |
[195 /300 ]    |  0.8941  |  0.6145  |    0.4194    |   0.3469   | 0.3797  |
[196 /300 ]    |  0.9326  |  0.5936  |    0.4049    |   0.3612   | 0.3818  |
[197 /300 ]    |  0.9746  |  0.5945  |    0.3799    |   0.3802   | 0.3800  |
[198 /300 ]    |  0.9126  |  0.6081  |    0.3931    |   0.3709   | 0.3817  |
[199 /300 ]    |  0.9030  |  0.6171  |    0.3965    |   0.3663   | 0.3808  |
[200 /300 ]    |  0.9252  |  0.5921  |    0.3882    |   0.3725   | 0.3802  |
[201 /300 ]    |  0.9217  |  0.5919  |    0.4090    |   0.3589   | 0.3823  |
[202 /300 ]    |  0.9196  |  0.5964  |    0.3917    |   0.3709   | 0.3810  |
[203 /300 ]    |  0.9194  |  0.5955  |    0.3819    |   0.3729   | 0.3774  |
[204 /300 ]    |  0.9223  |  0.5860  |    0.4090    |   0.3543   | 0.3797  |
[205 /300 ]    |  0.9258  |  0.5996  |    0.4250    |   0.3500   | 0.3839  |
[206 /300 ]    |  0.9254  |  0.5580  |    0.4000    |   0.3686   | 0.3837  |
[207 /300 ]    |  0.9197  |  0.5731  |    0.3986    |   0.3636   | 0.3803  |
[208 /300 ]    |  0.9158  |  0.5799  |    0.4389    |   0.3384   | 0.3821  |
[209 /300 ]    |  0.9198  |  0.5656  |    0.3951    |   0.3705   | 0.3824  |
[210 /300 ]    |  0.9261  |  0.6373  |    0.3833    |   0.3787   | 0.3810  |
[211 /300 ]    |  0.9179  |  0.5420  |    0.3882    |   0.3667   | 0.3771  |
[212 /300 ]    |  0.9167  |  0.5693  |    0.4188    |   0.3450   | 0.3783  |
[213 /300 ]    |  0.9055  |  0.5771  |    0.3903    |   0.3698   | 0.3797  |
[214 /300 ]    |  0.9135  |  0.5742  |    0.4007    |   0.3585   | 0.3784  |
[215 /300 ]    |  0.9191  |  0.5359  |    0.3951    |   0.3698   | 0.3820  |
[216 /300 ]    |  0.9152  |  0.6520  |    0.4000    |   0.3640   | 0.3811  |
[217 /300 ]    |  0.9097  |  0.6515  |    0.4069    |   0.3535   | 0.3783  |
[218 /300 ]    |  0.9293  |  0.6957  |    0.4104    |   0.3481   | 0.3767  |
[219 /300 ]    |  0.9083  |  0.6211  |    0.3910    |   0.3783   | 0.3845  |
[220 /300 ]    |  0.9107  |  0.6333  |    0.4125    |   0.3492   | 0.3782  |
[221 /300 ]    |  0.9139  |  0.5499  |    0.4021    |   0.3620   | 0.3810  |
[222 /300 ]    |  0.9021  |  0.5604  |    0.4139    |   0.3535   | 0.3813  |
[223 /300 ]    |  0.9075  |  0.5473  |    0.4125    |   0.3543   | 0.3812  |
[224 /300 ]    |  0.9017  |  0.5908  |    0.4458    |   0.3302   | 0.3794  |
[225 /300 ]    |  0.9071  |  0.5868  |    0.3931    |   0.3678   | 0.3800  |
[226 /300 ]    |  0.9352  |  0.7176  |    0.3986    |   0.3640   | 0.3805  |
[227 /300 ]    |  0.9214  |  0.6880  |    0.4201    |   0.3550   | 0.3849  |
[228 /300 ]    |  0.9038  |  0.5856  |    0.4319    |   0.3426   | 0.3821  |
[229 /300 ]    |  0.9076  |  0.6306  |    0.4097    |   0.3593   | 0.3829  |
[230 /300 ]    |  0.9336  |  0.7188  |    0.3903    |   0.3709   | 0.3804  |
[231 /300 ]    |  0.9182  |  0.5278  |    0.4410    |   0.3453   | 0.3873  |
[232 /300 ]    |  0.9021  |  0.5624  |    0.4049    |   0.3609   | 0.3816  |
[233 /300 ]    |  0.9184  |  0.5230  |    0.4069    |   0.3616   | 0.3830  |
[234 /300 ]    |  0.9017  |  0.5747  |    0.3910    |   0.3771   | 0.3839  |
