Namespace(adv_steps=5, att_size=1024, batch_size=512, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=None, matdataset=True, nclass_all=102, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=82, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=800, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  1490
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=3072, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=82)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 93 /300 ]    |  0.7575  |  1.0416  |    0.4704    |   0.7618   | 0.5816  |
[ 94 /300 ]    |  0.6868  |  0.8360  |    0.4548    |   0.7387   | 0.5630  |
[ 95 /300 ]    |  0.7287  |  0.6168  |    0.4624    |   0.7365   | 0.5681  |
[ 96 /300 ]    |  0.7123  |  0.7313  |    0.4723    |   0.7374   | 0.5758  |
[ 97 /300 ]    |  0.7382  |  0.7797  |    0.4571    |   0.7682   | 0.5731  |
[ 98 /300 ]    |  0.7126  |  0.7251  |    0.4531    |   0.8033   | 0.5794  |
[ 99 /300 ]    |  0.8098  |  0.5489  |    0.4803    |   0.7452   | 0.5841  |
[100 /300 ]    |  0.7673  |  0.9728  |    0.4659    |   0.7536   | 0.5758  |
[101 /300 ]    |  0.7899  |  0.9583  |    0.4622    |   0.7561   | 0.5737  |
[102 /300 ]    |  0.8112  |  0.8428  |    0.4645    |   0.7718   | 0.5800  |
[103 /300 ]    |  0.7945  |  0.8437  |    0.4652    |   0.7264   | 0.5672  |
[104 /300 ]    |  0.7858  |  0.7958  |    0.4755    |   0.7255   | 0.5744  |
[105 /300 ]    |  0.9012  |  1.0517  |    0.4449    |   0.7997   | 0.5717  |
[106 /300 ]    |  0.8256  |  0.6504  |    0.4532    |   0.7685   | 0.5701  |
[107 /300 ]    |  0.8184  |  0.7180  |    0.4657    |   0.7411   | 0.5720  |
[108 /300 ]    |  0.8478  |  0.6987  |    0.4551    |   0.7657   | 0.5709  |
[109 /300 ]    |  0.9324  |  0.5542  |    0.4487    |   0.7959   | 0.5739  |
[110 /300 ]    |  0.8476  |  0.6976  |    0.4581    |   0.7714   | 0.5749  |
[111 /300 ]    |  0.8618  |  0.6508  |    0.4946    |   0.6921   | 0.5769  |
[112 /300 ]    |  0.8920  |  0.7582  |    0.4771    |   0.7701   | 0.5892  |
[113 /300 ]    |  0.9270  |  0.9102  |    0.4919    |   0.7229   | 0.5854  |
[114 /300 ]    |  0.8730  |  0.6682  |    0.4800    |   0.7469   | 0.5844  |
[115 /300 ]    |  0.9170  |  0.5912  |    0.4659    |   0.7713   | 0.5809  |
[116 /300 ]    |  0.9681  |  0.5097  |    0.4889    |   0.7057   | 0.5776  |
[117 /300 ]    |  0.9132  |  0.6402  |    0.4529    |   0.7703   | 0.5705  |
[118 /300 ]    |  0.9572  |  0.8573  |    0.4781    |   0.7073   | 0.5706  |
[119 /300 ]    |  0.9580  |  0.8204  |    0.4619    |   0.7693   | 0.5772  |
[120 /300 ]    |  0.9988  |  0.8453  |    0.4661    |   0.7560   | 0.5767  |
[121 /300 ]    |  0.9714  |  0.5881  |    0.4520    |   0.8083   | 0.5798  |
[122 /300 ]    |  0.9535  |  0.7577  |    0.4698    |   0.7654   | 0.5823  |
[123 /300 ]    |  0.9520  |  0.6185  |    0.4927    |   0.7070   | 0.5807  |
[124 /300 ]    |  0.9543  |  0.6425  |    0.5100    |   0.6962   | 0.5887  |
[125 /300 ]    |  1.0078  |  0.7772  |    0.4876    |   0.7167   | 0.5804  |
[126 /300 ]    |  0.9586  |  0.5953  |    0.4718    |   0.7878   | 0.5902  |
[127 /300 ]    |  0.9661  |  0.6028  |    0.4955    |   0.7070   | 0.5827  |
[128 /300 ]    |  0.9834  |  0.6008  |    0.4960    |   0.7082   | 0.5834  |
[129 /300 ]    |  0.9623  |  0.6246  |    0.4811    |   0.7788   | 0.5948  |
[130 /300 ]    |  1.0031  |  0.6894  |    0.4939    |   0.7437   | 0.5936  |
[131 /300 ]    |  0.9675  |  0.6602  |    0.4821    |   0.7391   | 0.5836  |
[132 /300 ]    |  1.0017  |  0.6084  |    0.4710    |   0.7789   | 0.5871  |
[133 /300 ]    |  1.0014  |  0.6449  |    0.5132    |   0.7128   | 0.5968  |
[134 /300 ]    |  1.0060  |  0.7022  |    0.4909    |   0.7428   | 0.5911  |
[135 /300 ]    |  0.9799  |  0.6953  |    0.5369    |   0.6891   | 0.6036  |
[136 /300 ]    |  0.9931  |  0.5318  |    0.5038    |   0.7337   | 0.5974  |
[137 /300 ]    |  0.9934  |  0.6892  |    0.4819    |   0.7742   | 0.5940  |
[138 /300 ]    |  0.9758  |  0.6625  |    0.5136    |   0.6979   | 0.5918  |
[139 /300 ]    |  0.9846  |  0.6126  |    0.5209    |   0.7175   | 0.6036  |
[140 /300 ]    |  0.9680  |  0.5606  |    0.5034    |   0.7214   | 0.5930  |
[141 /300 ]    |  0.9940  |  0.6359  |    0.4980    |   0.7872   | 0.6101  |
[142 /300 ]    |  0.9779  |  0.6987  |    0.5107    |   0.7451   | 0.6060  |
[143 /300 ]    |  0.9522  |  0.6563  |    0.5018    |   0.7680   | 0.6070  |
[144 /300 ]    |  0.9688  |  0.6151  |    0.5170    |   0.7258   | 0.6039  |
[145 /300 ]    |  0.9716  |  0.5439  |    0.5174    |   0.7120   | 0.5993  |
[146 /300 ]    |  1.0032  |  0.5588  |    0.5039    |   0.7787   | 0.6119  |
[147 /300 ]    |  0.9650  |  0.7788  |    0.5149    |   0.7736   | 0.6183  |
[148 /300 ]    |  0.9534  |  0.6211  |    0.5242    |   0.7464   | 0.6159  |
[149 /300 ]    |  0.9533  |  0.5790  |    0.5119    |   0.7379   | 0.6044  |
[150 /300 ]    |  0.9394  |  0.6021  |    0.4971    |   0.7921   | 0.6108  |
[151 /300 ]    |  0.9285  |  0.6659  |    0.5032    |   0.8012   | 0.6181  |
[152 /300 ]    |  0.9349  |  0.7045  |    0.5057    |   0.8114   | 0.6230  |
[153 /300 ]    |  0.9427  |  0.5556  |    0.5110    |   0.8100   | 0.6267  |
[154 /300 ]    |  0.9120  |  0.7409  |    0.5362    |   0.7662   | 0.6309  |
[155 /300 ]    |  0.9316  |  0.6848  |    0.5242    |   0.7443   | 0.6151  |
[156 /300 ]    |  0.9064  |  0.6136  |    0.5476    |   0.7148   | 0.6201  |
[157 /300 ]    |  0.9115  |  0.6535  |    0.5310    |   0.7761   | 0.6306  |
[158 /300 ]    |  0.9069  |  0.7149  |    0.5215    |   0.7840   | 0.6263  |
[159 /300 ]    |  0.9114  |  0.7376  |    0.5288    |   0.7916   | 0.6340  |
[160 /300 ]    |  0.8936  |  0.6287  |    0.5346    |   0.7568   | 0.6266  |
[161 /300 ]    |  0.8932  |  0.6000  |    0.5234    |   0.7909   | 0.6299  |
[162 /300 ]    |  0.8895  |  0.7042  |    0.5351    |   0.7418   | 0.6217  |
[163 /300 ]    |  0.8917  |  0.6281  |    0.5352    |   0.7774   | 0.6339  |
[164 /300 ]    |  0.8936  |  0.5290  |    0.5550    |   0.7486   | 0.6375  |
[165 /300 ]    |  0.8785  |  0.6827  |    0.5415    |   0.7700   | 0.6359  |
[166 /300 ]    |  0.8701  |  0.5988  |    0.5276    |   0.7821   | 0.6301  |
[167 /300 ]    |  0.8684  |  0.6659  |    0.5347    |   0.7736   | 0.6324  |
