Namespace(attSize=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=312, nrh4=156, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=1, r_iteration=3, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, save_every=100, standardization=False, start_epoch=0, syn_num=3000, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_2HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_seen  |  ACC_unseen  |    H    |
[ 64 /300 ]    | -1.0649  | -0.4562  |  0.9271  |     1.1055      |   0.3770   |    0.5906    | 0.4602  |
[ 65 /300 ]    | -1.0399  | -0.4472  |  0.9268  |     1.0824      |   0.3630   |    0.6415    | 0.4636  |
[ 66 /300 ]    | -1.0552  | -0.4232  |  0.9304  |     1.0957      |   0.3453   |    0.7152    | 0.4657  |
[ 67 /300 ]    | -1.0777  | -0.4529  |  0.9298  |     1.1213      |   0.4271   |    0.5802    | 0.4920  |
[ 68 /300 ]    | -1.0337  | -0.4578  |  0.9342  |     1.0760      |   0.3712   |    0.6388    | 0.4696  |
[ 69 /300 ]    | -1.0406  | -0.4622  |  0.9333  |     1.0842      |   0.3712   |    0.6369    | 0.4690  |
[ 70 /300 ]    | -1.0651  | -0.4735  |  0.9350  |     1.1090      |   0.3505   |    0.6820    | 0.4630  |
[ 71 /300 ]    | -1.0444  | -0.4808  |  0.9361  |     1.0898      |   0.3860   |    0.6782    | 0.4919  |
[ 72 /300 ]    | -1.0527  | -0.4502  |  0.9386  |     1.0957      |   0.4319   |    0.5759    | 0.4936  |
[ 73 /300 ]    | -1.0322  | -0.4998  |  0.9366  |     1.0789      |   0.4544   |    0.5659    | 0.5041  |
[ 74 /300 ]    | -1.0423  | -0.4874  |  0.9391  |     1.0889      |   0.3967   |    0.6673    | 0.4976  |
[ 75 /300 ]    | -1.0225  | -0.4828  |  0.9404  |     1.0693      |   0.4236   |    0.5703    | 0.4861  |
[ 76 /300 ]    | -1.0289  | -0.5156  |  0.9423  |     1.0739      |   0.4199   |    0.6217    | 0.5012  |
[ 77 /300 ]    | -1.0299  | -0.4943  |  0.9442  |     1.0779      |   0.4326   |    0.6242    | 0.5110  |
[ 78 /300 ]    | -1.0234  | -0.5191  |  0.9435  |     1.0704      |   0.4507   |    0.6253    | 0.5239  |
[ 79 /300 ]    | -1.0206  | -0.5731  |  0.9440  |     1.0683      |   0.4278   |    0.6656    | 0.5208  |
[ 80 /300 ]    | -1.0400  | -0.5791  |  0.9457  |     1.0859      |   0.4465   |    0.6186    | 0.5187  |
[ 81 /300 ]    | -1.0577  | -0.5875  |  0.9469  |     1.1079      |   0.4181   |    0.6707    | 0.5151  |
[ 82 /300 ]    | -1.0207  | -0.5371  |  0.9474  |     1.0678      |   0.4265   |    0.6663    | 0.5201  |
[ 83 /300 ]    | -1.0307  | -0.6051  |  0.9500  |     1.0797      |   0.4594   |    0.6090    | 0.5237  |
[ 84 /300 ]    | -1.0151  | -0.6186  |  0.9495  |     1.0624      |   0.4893   |    0.5527    | 0.5191  |
[ 85 /300 ]    | -1.0028  | -0.6241  |  0.9503  |     1.0506      |   0.4382   |    0.6191    | 0.5132  |
[ 86 /300 ]    | -0.9999  | -0.5953  |  0.9507  |     1.0481      |   0.4281   |    0.6586    | 0.5189  |
[ 87 /300 ]    | -1.0076  | -0.6126  |  0.9522  |     1.0564      |   0.4310   |    0.6522    | 0.5190  |
[ 88 /300 ]    | -1.0369  | -0.6355  |  0.9529  |     1.0870      |   0.4951   |    0.6046    | 0.5444  |
[ 89 /300 ]    | -1.0246  | -0.6518  |  0.9544  |     1.0738      |   0.4723   |    0.6516    | 0.5477  |
[ 90 /300 ]    | -1.0063  | -0.6403  |  0.9528  |     1.0576      |   0.4497   |    0.6524    | 0.5324  |
