Namespace(attSize=1024, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, fusion_iter=3, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=None, matdataset=True, nclass_all=102, ndh=4096, nepoch=300, netD_name='MLP_CRITIC', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=800, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  6026
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=3072, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_DropoutAdapt(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (drop): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  F_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[100 /300 ]    | -1.6606  |  0.5788  |  0.4235  |  0.7685  |     1.7275      |    0.4271    |   0.7575   | 0.5463  |
[101 /300 ]    | -1.6575  |  0.4824  |  0.3536  |  0.7684  |     1.7334      |    0.4448    |   0.7738   | 0.5649  |
[102 /300 ]    | -1.6851  |  0.5648  |  0.3832  |  0.7670  |     1.7709      |    0.4372    |   0.7574   | 0.5544  |
[103 /300 ]    | -1.6419  |  0.5536  |  0.4067  |  0.7697  |     1.7174      |    0.4235    |   0.7786   | 0.5486  |
[104 /300 ]    | -1.6429  |  0.5101  |  0.3633  |  0.7701  |     1.7158      |    0.4297    |   0.7812   | 0.5544  |
[105 /300 ]    | -1.6093  |  0.4690  |  0.4287  |  0.7690  |     1.6893      |    0.4363    |   0.7637   | 0.5553  |
[106 /300 ]    | -1.6060  |  0.5561  |  0.3519  |  0.7703  |     1.6715      |    0.4465    |   0.7470   | 0.5589  |
[107 /300 ]    | -1.5508  |  0.5899  |  0.5181  |  0.7707  |     1.6220      |    0.4512    |   0.7480   | 0.5629  |
[108 /300 ]    | -1.5590  |  0.5385  |  0.4604  |  0.7705  |     1.6336      |    0.4443    |   0.7714   | 0.5639  |
[109 /300 ]    | -1.6059  |  0.5396  |  0.4116  |  0.7695  |     1.6745      |    0.4366    |   0.7737   | 0.5582  |
[110 /300 ]    | -1.5511  |  0.4822  |  0.3346  |  0.7720  |     1.6118      |    0.4325    |   0.7395   | 0.5457  |
[111 /300 ]    | -1.5495  |  0.5270  |  0.3372  |  0.7712  |     1.6136      |    0.4399    |   0.7881   | 0.5646  |
[112 /300 ]    | -1.5268  |  0.5897  |  0.3979  |  0.7697  |     1.5992      |    0.4417    |   0.7988   | 0.5689  |
[113 /300 ]    | -1.5515  |  0.3778  |  0.4758  |  0.7708  |     1.6206      |    0.4383    |   0.7969   | 0.5655  |
[114 /300 ]    | -1.5112  |  0.4808  |  0.3559  |  0.7703  |     1.5709      |    0.4792    |   0.7412   | 0.5821  |
[115 /300 ]    | -1.5233  |  0.4113  |  0.4030  |  0.7713  |     1.5902      |    0.4527    |   0.7950   | 0.5769  |
[116 /300 ]    | -1.5603  |  0.4727  |  0.4192  |  0.7724  |     1.6241      |    0.4504    |   0.7921   | 0.5742  |
[117 /300 ]    | -1.5104  |  0.3249  |  0.3737  |  0.7719  |     1.5700      |    0.4697    |   0.7517   | 0.5781  |
[118 /300 ]    | -1.4865  |  0.4144  |  0.4286  |  0.7725  |     1.5562      |    0.4636    |   0.7211   | 0.5644  |
[119 /300 ]    | -1.4991  |  0.3457  |  0.3959  |  0.7712  |     1.5655      |    0.4477    |   0.7583   | 0.5630  |
[120 /300 ]    | -1.4947  |  0.2790  |  0.4894  |  0.7713  |     1.5559      |    0.4608    |   0.7908   | 0.5823  |
[121 /300 ]    | -1.4547  |  0.2949  |  0.3793  |  0.7745  |     1.5171      |    0.4880    |   0.7142   | 0.5798  |
[122 /300 ]    | -1.4817  |  0.2322  |  0.6189  |  0.7724  |     1.5411      |    0.4408    |   0.7984   | 0.5680  |
[123 /300 ]    | -1.4470  |  0.2241  |  0.3321  |  0.7727  |     1.5159      |    0.4406    |   0.7847   | 0.5643  |
[124 /300 ]    | -1.4425  |  0.2688  |  0.4562  |  0.7724  |     1.5007      |    0.4523    |   0.7667   | 0.5690  |
[125 /300 ]    | -1.4456  |  0.1312  |  0.4353  |  0.7728  |     1.5010      |    0.4654    |   0.7827   | 0.5837  |
[126 /300 ]    | -1.4159  |  0.1501  |  0.4739  |  0.7719  |     1.4767      |    0.4705    |   0.7487   | 0.5779  |
[127 /300 ]    | -1.4114  |  0.1430  |  0.3431  |  0.7735  |     1.4769      |    0.4861    |   0.7556   | 0.5916  |
[128 /300 ]    | -1.3861  |  0.1615  |  0.3964  |  0.7723  |     1.4509      |    0.4788    |   0.7393   | 0.5812  |
[129 /300 ]    | -1.4157  |  0.1317  |  0.3396  |  0.7736  |     1.4850      |    0.4642    |   0.7810   | 0.5823  |
[130 /300 ]    | -1.3643  |  0.0052  |  0.3528  |  0.7742  |     1.4165      |    0.4794    |   0.7522   | 0.5856  |
[131 /300 ]    | -1.3799  |  0.1176  |  0.4167  |  0.7738  |     1.4416      |    0.4962    |   0.7248   | 0.5891  |
[132 /300 ]    | -1.3900  | -0.0115  |  0.5962  |  0.7716  |     1.4485      |    0.4793    |   0.7932   | 0.5975  |
[133 /300 ]    | -1.3704  |  0.0470  |  0.2867  |  0.7744  |     1.4324      |    0.4819    |   0.7910   | 0.5989  |
[134 /300 ]    | -1.3465  | -0.1617  |  0.4037  |  0.7742  |     1.3989      |    0.4852    |   0.7656   | 0.5940  |
[135 /300 ]    | -1.3554  | -0.0549  |  0.3602  |  0.7740  |     1.4135      |    0.4925    |   0.7557   | 0.5964  |
[136 /300 ]    | -1.3230  | -0.1495  |  0.3699  |  0.7745  |     1.3783      |    0.5348    |   0.7118   | 0.6108  |
[137 /300 ]    | -1.3679  | -0.2778  |  0.4299  |  0.7728  |     1.4281      |    0.5075    |   0.7656   | 0.6104  |
[138 /300 ]    | -1.3393  | -0.2561  |  0.2993  |  0.7750  |     1.3907      |    0.4964    |   0.7315   | 0.5914  |
[139 /300 ]    | -1.3015  | -0.2579  |  0.4332  |  0.7751  |     1.3602      |    0.5065    |   0.7810   | 0.6145  |
[140 /300 ]    | -1.3046  | -0.3766  |  0.3700  |  0.7726  |     1.3656      |    0.5112    |   0.7720   | 0.6151  |
[141 /300 ]    | -1.2958  | -0.3648  |  0.4190  |  0.7738  |     1.3517      |    0.5155    |   0.7628   | 0.6152  |
[142 /300 ]    | -1.2703  | -0.2353  |  0.4250  |  0.7750  |     1.3241      |    0.5033    |   0.7662   | 0.6075  |
[143 /300 ]    | -1.2403  | -0.4322  |  0.4003  |  0.7755  |     1.2950      |    0.4960    |   0.7927   | 0.6102  |
[144 /300 ]    | -1.2757  | -0.4795  |  0.4128  |  0.7735  |     1.3329      |    0.5116    |   0.7704   | 0.6149  |
[145 /300 ]    | -1.3144  | -0.5781  |  0.4341  |  0.7738  |     1.3754      |    0.5031    |   0.7899   | 0.6147  |
[146 /300 ]    | -1.2900  | -0.4960  |  0.5534  |  0.7775  |     1.3508      |    0.5262    |   0.7553   | 0.6203  |
[147 /300 ]    | -1.2594  | -0.6634  |  0.3762  |  0.7752  |     1.3174      |    0.5182    |   0.8027   | 0.6298  |
[148 /300 ]    | -1.2557  | -0.6359  |  0.3824  |  0.7752  |     1.3120      |    0.5139    |   0.7942   | 0.6240  |
[149 /300 ]    | -1.2871  | -0.6059  |  0.5691  |  0.7747  |     1.3512      |    0.5021    |   0.7961   | 0.6158  |
[150 /300 ]    | -1.2679  | -0.7116  |  0.3948  |  0.7750  |     1.3279      |    0.5463    |   0.7631   | 0.6368  |
[151 /300 ]    | -1.2305  | -0.6453  |  0.3415  |  0.7768  |     1.2875      |    0.5518    |   0.7167   | 0.6235  |
[152 /300 ]    | -1.2664  | -0.7765  |  0.3608  |  0.7770  |     1.3406      |    0.5145    |   0.7649   | 0.6152  |
[153 /300 ]    | -1.2470  | -0.6591  |  0.4724  |  0.7740  |     1.3206      |    0.5517    |   0.7418   | 0.6328  |
[154 /300 ]    | -1.2327  | -0.8463  |  0.3308  |  0.7738  |     1.2883      |    0.5286    |   0.7402   | 0.6167  |
[155 /300 ]    | -1.3113  | -0.8001  |  0.4206  |  0.7765  |     1.3796      |    0.5487    |   0.7515   | 0.6343  |
[156 /300 ]    | -1.2327  | -0.8824  |  0.4111  |  0.7744  |     1.2938      |    0.5275    |   0.7665   | 0.6249  |
[157 /300 ]    | -1.2294  | -0.9573  |  0.3810  |  0.7757  |     1.2904      |    0.5508    |   0.7359   | 0.6300  |
