Namespace(adv_steps=5, attSize=85, batch_size=512, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA1', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, ndh=4096, nepoch=200, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=40, nz=85, outf='./checkpoint/', outname='awa', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=3200, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  1653
# of training samples:  19832
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2133, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=40)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[117 /200 ]    |  0.9585  |  0.5535  |    0.5421    |   0.6502   | 0.5912  |
[118 /200 ]    |  0.9564  |  0.5602  |    0.5410    |   0.6606   | 0.5948  |
[119 /200 ]    |  0.9504  |  0.5551  |    0.5200    |   0.6894   | 0.5928  |
[120 /200 ]    |  0.9584  |  0.5561  |    0.5378    |   0.6586   | 0.5921  |
[121 /200 ]    |  0.9557  |  0.5512  |    0.5216    |   0.6868   | 0.5929  |
[122 /200 ]    |  0.9501  |  0.5481  |    0.5411    |   0.6650   | 0.5967  |
[123 /200 ]    |  0.9517  |  0.5591  |    0.5373    |   0.6621   | 0.5932  |
[124 /200 ]    |  0.9531  |  0.5457  |    0.5443    |   0.6611   | 0.5970  |
[125 /200 ]    |  0.9490  |  0.5553  |    0.5511    |   0.6544   | 0.5983  |
[126 /200 ]    |  0.9535  |  0.5561  |    0.5522    |   0.6667   | 0.6041  |
[127 /200 ]    |  0.9495  |  0.5514  |    0.5476    |   0.6556   | 0.5968  |
[128 /200 ]    |  0.9536  |  0.5613  |    0.5471    |   0.6539   | 0.5958  |
[129 /200 ]    |  0.9546  |  0.5546  |    0.5584    |   0.6561   | 0.6033  |
[130 /200 ]    |  0.9531  |  0.5497  |    0.5481    |   0.6621   | 0.5997  |
[131 /200 ]    |  0.9478  |  0.5525  |    0.5431    |   0.6648   | 0.5978  |
[132 /200 ]    |  0.9530  |  0.5535  |    0.5322    |   0.6816   | 0.5977  |
[133 /200 ]    |  0.9517  |  0.5575  |    0.5360    |   0.6857   | 0.6017  |
[134 /200 ]    |  0.9507  |  0.5478  |    0.5776    |   0.6298   | 0.6026  |
[135 /200 ]    |  0.9550  |  0.5537  |    0.5411    |   0.6847   | 0.6045  |
[136 /200 ]    |  0.9506  |  0.5531  |    0.5417    |   0.6858   | 0.6053  |
[137 /200 ]    |  0.9516  |  0.5512  |    0.5532    |   0.6587   | 0.6013  |
[138 /200 ]    |  0.9496  |  0.5550  |    0.5623    |   0.6570   | 0.6060  |
[139 /200 ]    |  0.9523  |  0.5549  |    0.5477    |   0.6638   | 0.6002  |
[140 /200 ]    |  0.9562  |  0.5542  |    0.5548    |   0.6638   | 0.6044  |
[141 /200 ]    |  0.9557  |  0.5535  |    0.5530    |   0.6638   | 0.6033  |
[142 /200 ]    |  0.9530  |  0.5532  |    0.5473    |   0.6623   | 0.5993  |
[143 /200 ]    |  0.9488  |  0.5514  |    0.5503    |   0.6609   | 0.6006  |
[144 /200 ]    |  0.9486  |  0.5539  |    0.5483    |   0.6627   | 0.6001  |
[145 /200 ]    |  0.9544  |  0.5491  |    0.5509    |   0.6637   | 0.6021  |
[146 /200 ]    |  0.9515  |  0.5558  |    0.5621    |   0.6572   | 0.6059  |
[147 /200 ]    |  0.9585  |  0.5550  |    0.5555    |   0.6620   | 0.6041  |
[148 /200 ]    |  0.9488  |  0.5515  |    0.5507    |   0.6636   | 0.6019  |
[149 /200 ]    |  0.9513  |  0.5539  |    0.5512    |   0.6670   | 0.6036  |
[150 /200 ]    |  0.9531  |  0.5530  |    0.5514    |   0.6657   | 0.6032  |
[151 /200 ]    |  0.9519  |  0.5554  |    0.5473    |   0.6695   | 0.6022  |
[152 /200 ]    |  0.9537  |  0.5528  |    0.5468    |   0.6628   | 0.5993  |
[153 /200 ]    |  0.9536  |  0.5500  |    0.5659    |   0.6601   | 0.6094  |
[154 /200 ]    |  0.9513  |  0.5563  |    0.5762    |   0.6329   | 0.6032  |
[155 /200 ]    |  0.9491  |  0.5500  |    0.5517    |   0.6624   | 0.6020  |
[156 /200 ]    |  0.9514  |  0.5537  |    0.5529    |   0.6651   | 0.6039  |
[157 /200 ]    |  0.9521  |  0.5545  |    0.5548    |   0.6636   | 0.6043  |
[158 /200 ]    |  0.9533  |  0.5513  |    0.5496    |   0.6686   | 0.6033  |
[159 /200 ]    |  0.9527  |  0.5530  |    0.5504    |   0.6664   | 0.6029  |
[160 /200 ]    |  0.9493  |  0.5503  |    0.5912    |   0.6264   | 0.6083  |
[161 /200 ]    |  0.9507  |  0.5548  |    0.5683    |   0.6381   | 0.6012  |
[162 /200 ]    |  0.9499  |  0.5533  |    0.5393    |   0.6903   | 0.6055  |
[163 /200 ]    |  0.9521  |  0.5495  |    0.5353    |   0.6887   | 0.6024  |
