Namespace(adv_steps=5, att_size=1024, batch_size=512, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=None, matdataset=True, nclass_all=102, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=82, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=800, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  3753
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=3072, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=82)
  (relu): ReLU(inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=1024)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[150 /300 ]    |  0.9576  |  0.7482  |  0.7758  |    0.5123    |   0.7676   | 0.6145  |
[151 /300 ]    |  0.9479  |  0.7206  |  0.7768  |    0.5045    |   0.7922   | 0.6164  |
[152 /300 ]    |  0.9459  |  0.6820  |  0.7768  |    0.5165    |   0.7628   | 0.6160  |
[153 /300 ]    |  0.9535  |  0.6144  |  0.7776  |    0.5099    |   0.8016   | 0.6233  |
[154 /300 ]    |  0.9294  |  0.5968  |  0.7774  |    0.5406    |   0.7410   | 0.6251  |
[155 /300 ]    |  0.9221  |  0.7595  |  0.7776  |    0.5523    |   0.7293   | 0.6286  |
[156 /300 ]    |  0.9166  |  0.6053  |  0.7772  |    0.5551    |   0.7244   | 0.6286  |
[157 /300 ]    |  0.8619  |  0.6298  |  0.7767  |    0.5138    |   0.7968   | 0.6248  |
[158 /300 ]    |  0.8933  |  0.6046  |  0.7774  |    0.5405    |   0.7432   | 0.6258  |
[159 /300 ]    |  0.9114  |  0.6856  |  0.7776  |    0.5095    |   0.7841   | 0.6176  |
[160 /300 ]    |  0.8942  |  0.6191  |  0.7776  |    0.5422    |   0.7359   | 0.6244  |
[161 /300 ]    |  0.8923  |  0.5965  |  0.7776  |    0.5123    |   0.8111   | 0.6280  |
[162 /300 ]    |  0.8820  |  0.6457  |  0.7763  |    0.5441    |   0.7565   | 0.6330  |
[163 /300 ]    |  0.9156  |  0.5577  |  0.7785  |    0.5246    |   0.7895   | 0.6304  |
[164 /300 ]    |  0.8620  |  0.7410  |  0.7778  |    0.5426    |   0.7507   | 0.6299  |
[165 /300 ]    |  0.8798  |  0.7075  |  0.7778  |    0.5489    |   0.7553   | 0.6358  |
[166 /300 ]    |  0.8509  |  0.6414  |  0.7787  |    0.5316    |   0.7842   | 0.6337  |
[167 /300 ]    |  0.8642  |  0.6623  |  0.7796  |    0.5371    |   0.7614   | 0.6298  |
[168 /300 ]    |  0.8446  |  0.7411  |  0.7797  |    0.5438    |   0.7549   | 0.6322  |
[169 /300 ]    |  0.8664  |  0.6167  |  0.7761  |    0.5232    |   0.7851   | 0.6279  |
[170 /300 ]    |  0.8220  |  0.6850  |  0.7794  |    0.5628    |   0.7331   | 0.6368  |
[171 /300 ]    |  0.9215  |  0.9220  |  0.7777  |    0.5393    |   0.7469   | 0.6264  |
[172 /300 ]    |  0.8454  |  0.7998  |  0.7783  |    0.5679    |   0.7143   | 0.6327  |
[173 /300 ]    |  0.8443  |  0.6942  |  0.7788  |    0.5257    |   0.8034   | 0.6355  |
[174 /300 ]    |  0.8567  |  0.7093  |  0.7784  |    0.5208    |   0.8200   | 0.6371  |
[175 /300 ]    |  0.8437  |  0.7396  |  0.7792  |    0.5303    |   0.8101   | 0.6410  |
[176 /300 ]    |  0.8485  |  0.6275  |  0.7779  |    0.5533    |   0.7672   | 0.6429  |
[177 /300 ]    |  0.8362  |  0.7544  |  0.7799  |    0.5519    |   0.7532   | 0.6370  |
[178 /300 ]    |  0.8093  |  0.6403  |  0.7780  |    0.5448    |   0.7825   | 0.6424  |
[179 /300 ]    |  0.7749  |  0.6540  |  0.7777  |    0.5533    |   0.7494   | 0.6366  |
[180 /300 ]    |  0.7651  |  0.6662  |  0.7786  |    0.5400    |   0.7566   | 0.6302  |
