Namespace(adv_steps=5, att_size=85, batch_size=1024, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=200, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=40, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=2000, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  7420
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2133, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=40)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 94 /200 ]    |  0.9546  |  0.5768  |    0.5228    |   0.5874   | 0.5532  |
[ 95 /200 ]    |  0.9527  |  0.5694  |    0.4561    |   0.6683   | 0.5422  |
[ 96 /200 ]    |  0.9581  |  0.5824  |    0.4952    |   0.5930   | 0.5397  |
[ 97 /200 ]    |  0.9569  |  0.5771  |    0.5227    |   0.5604   | 0.5409  |
[ 98 /200 ]    |  0.9548  |  0.5841  |    0.5263    |   0.5848   | 0.5540  |
[ 99 /200 ]    |  0.9565  |  0.5729  |    0.4723    |   0.6634   | 0.5518  |
[100 /200 ]    |  0.9527  |  0.5704  |    0.4621    |   0.6657   | 0.5456  |
[101 /200 ]    |  0.9552  |  0.5771  |    0.4674    |   0.6599   | 0.5472  |
[102 /200 ]    |  0.9535  |  0.5673  |    0.4619    |   0.6606   | 0.5436  |
[103 /200 ]    |  0.9518  |  0.5701  |    0.5627    |   0.5635   | 0.5631  |
[104 /200 ]    |  0.9519  |  0.5714  |    0.4645    |   0.6636   | 0.5465  |
[105 /200 ]    |  0.9525  |  0.5701  |    0.5220    |   0.5793   | 0.5492  |
[106 /200 ]    |  0.9557  |  0.5667  |    0.4945    |   0.6566   | 0.5641  |
[107 /200 ]    |  0.9507  |  0.5621  |    0.5035    |   0.5722   | 0.5356  |
[108 /200 ]    |  0.9499  |  0.5744  |    0.5505    |   0.5656   | 0.5580  |
[109 /200 ]    |  0.9510  |  0.5663  |    0.4715    |   0.6593   | 0.5498  |
[110 /200 ]    |  0.9531  |  0.5694  |    0.5341    |   0.5679   | 0.5505  |
[111 /200 ]    |  0.9500  |  0.5686  |    0.4601    |   0.6618   | 0.5428  |
[112 /200 ]    |  0.9488  |  0.5687  |    0.4872    |   0.6505   | 0.5571  |
[113 /200 ]    |  0.9523  |  0.5703  |    0.4763    |   0.6580   | 0.5526  |
[114 /200 ]    |  0.9450  |  0.5704  |    0.4917    |   0.6563   | 0.5622  |
[115 /200 ]    |  0.9483  |  0.5673  |    0.4841    |   0.6564   | 0.5572  |
[116 /200 ]    |  0.9502  |  0.5659  |    0.4772    |   0.6613   | 0.5543  |
[117 /200 ]    |  0.9456  |  0.5635  |    0.4844    |   0.6551   | 0.5570  |
[118 /200 ]    |  0.9494  |  0.5610  |    0.5330    |   0.5692   | 0.5505  |
