Namespace(att_size=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, fusion_iter=3, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=200, netD_name='MLP_CRITIC', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=2000, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  4803
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_DropoutAdapt(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (drop): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  F_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 90 /200 ]    | -1.0224  | -0.6129  |  0.0875  |  0.9409  |     1.0717      |    0.5021    |   0.5474   | 0.5238  |
[ 91 /200 ]    | -1.0074  | -0.6262  |  0.0301  |  0.9412  |     1.0580      |    0.4344    |   0.6502   | 0.5208  |
[ 92 /200 ]    | -1.0249  | -0.6314  |  0.0822  |  0.9439  |     1.0742      |    0.4423    |   0.6553   | 0.5281  |
[ 93 /200 ]    | -1.0146  | -0.6916  |  0.0325  |  0.9451  |     1.0622      |    0.4438    |   0.6489   | 0.5271  |
[ 94 /200 ]    | -1.0185  | -0.6786  |  0.1227  |  0.9457  |     1.0652      |    0.4080    |   0.7037   | 0.5165  |
[ 95 /200 ]    | -1.0329  | -0.7049  |  0.0635  |  0.9458  |     1.0819      |    0.4401    |   0.6469   | 0.5238  |
[ 96 /200 ]    | -1.0133  | -0.6793  |  0.0374  |  0.9477  |     1.0636      |    0.4302    |   0.6491   | 0.5174  |
[ 97 /200 ]    | -1.0010  | -0.7039  |  0.0992  |  0.9470  |     1.0495      |    0.4439    |   0.6421   | 0.5249  |
[ 98 /200 ]    | -1.0242  | -0.6959  |  0.0988  |  0.9487  |     1.0724      |    0.4630    |   0.6345   | 0.5354  |
[ 99 /200 ]    | -1.0175  | -0.7215  |  0.1098  |  0.9501  |     1.0650      |    0.4486    |   0.6363   | 0.5262  |
[100 /200 ]    | -0.9853  | -0.7198  |  0.0629  |  0.9494  |     1.0334      |    0.4265    |   0.6501   | 0.5151  |
[101 /200 ]    | -1.0199  | -0.7276  |  0.1142  |  0.9506  |     1.0664      |    0.4815    |   0.6315   | 0.5464  |
[102 /200 ]    | -1.0060  | -0.7558  |  0.0467  |  0.9501  |     1.0553      |    0.4983    |   0.6326   | 0.5575  |
[103 /200 ]    | -1.0111  | -0.7396  |  0.0745  |  0.9523  |     1.0610      |    0.4405    |   0.6425   | 0.5227  |
[104 /200 ]    | -1.0277  | -0.7415  |  0.1493  |  0.9530  |     1.0743      |    0.5005    |   0.6304   | 0.5580  |
[105 /200 ]    | -0.9989  | -0.7590  |  0.0635  |  0.9522  |     1.0444      |    0.4920    |   0.6356   | 0.5546  |
[106 /200 ]    | -0.9926  | -0.7535  |  0.0527  |  0.9535  |     1.0389      |    0.4916    |   0.6457   | 0.5582  |
[107 /200 ]    | -0.9787  | -0.7779  |  0.0678  |  0.9531  |     1.0259      |    0.4836    |   0.6367   | 0.5497  |
[108 /200 ]    | -1.0197  | -0.8112  |  0.0685  |  0.9555  |     1.0665      |    0.4466    |   0.6903   | 0.5423  |
[109 /200 ]    | -0.9837  | -0.8132  |  0.0763  |  0.9545  |     1.0296      |    0.5077    |   0.6315   | 0.5629  |
[110 /200 ]    | -0.9887  | -0.8009  |  0.1145  |  0.9560  |     1.0339      |    0.5071    |   0.6294   | 0.5617  |
[111 /200 ]    | -0.9759  | -0.8349  |  0.1244  |  0.9562  |     1.0180      |    0.4729    |   0.6896   | 0.5610  |
[112 /200 ]    | -0.9770  | -0.7823  |  0.0811  |  0.9560  |     1.0217      |    0.5040    |   0.6421   | 0.5647  |
[113 /200 ]    | -1.0005  | -0.8001  |  0.0215  |  0.9566  |     1.0485      |    0.5167    |   0.6335   | 0.5692  |
[114 /200 ]    | -0.9759  | -0.7814  |  0.1009  |  0.9572  |     1.0205      |    0.4964    |   0.6359   | 0.5576  |
[115 /200 ]    | -0.9774  | -0.8386  |  0.0179  |  0.9575  |     1.0235      |    0.4602    |   0.6924   | 0.5529  |
[116 /200 ]    | -0.9764  | -0.8224  |  0.0577  |  0.9568  |     1.0213      |    0.5167    |   0.6365   | 0.5704  |
[117 /200 ]    | -0.9718  | -0.8320  |  0.0881  |  0.9587  |     1.0169      |    0.5038    |   0.6489   | 0.5672  |
[118 /200 ]    | -0.9759  | -0.8159  |  0.0805  |  0.9602  |     1.0206      |    0.4859    |   0.6936   | 0.5714  |
[119 /200 ]    | -0.9598  | -0.8674  |  0.0423  |  0.9596  |     1.0049      |    0.4896    |   0.6879   | 0.5720  |
[120 /200 ]    | -0.9762  | -0.8317  |  0.1238  |  0.9585  |     1.0212      |    0.4754    |   0.6845   | 0.5611  |
[121 /200 ]    | -0.9765  | -0.8285  |  0.0419  |  0.9595  |     1.0210      |    0.4973    |   0.6907   | 0.5782  |
[122 /200 ]    | -0.9641  | -0.8362  |  0.0545  |  0.9592  |     1.0112      |    0.5129    |   0.6830   | 0.5859  |
[123 /200 ]    | -0.9792  | -0.8799  |  0.0398  |  0.9599  |     1.0271      |    0.4952    |   0.6936   | 0.5778  |
[124 /200 ]    | -0.9662  | -0.8654  |  0.0229  |  0.9610  |     1.0110      |    0.5086    |   0.6882   | 0.5849  |
[125 /200 ]    | -0.9672  | -0.8699  |  0.0592  |  0.9615  |     1.0110      |    0.4937    |   0.6955   | 0.5775  |
[126 /200 ]    | -0.9656  | -0.8496  |  0.1042  |  0.9616  |     1.0085      |    0.5081    |   0.6856   | 0.5836  |
[127 /200 ]    | -0.9573  | -0.8639  |  0.1017  |  0.9610  |     1.0021      |    0.4944    |   0.6865   | 0.5748  |
[128 /200 ]    | -0.9566  | -0.8077  |  0.1037  |  0.9628  |     1.0013      |    0.4972    |   0.6926   | 0.5788  |
[129 /200 ]    | -0.9543  | -0.8853  |  0.1007  |  0.9620  |     0.9949      |    0.5157    |   0.6922   | 0.5910  |
[130 /200 ]    | -0.9642  | -0.8815  |  0.1396  |  0.9624  |     1.0094      |    0.5187    |   0.6399   | 0.5729  |
[131 /200 ]    | -0.9268  | -0.8868  |  0.0351  |  0.9635  |     0.9688      |    0.5007    |   0.6874   | 0.5794  |
